LIST OF VILLAGES WITH ONLINE TR AS on 15/7/19,,,,,,
Slno,District Name Malayalam,District Name English,Taluk Name Malayalam,Taluk Name English,Village Name Malayalam,Village Name English
130,??????,Kollam,????????????,KUNNATHUR,???????? ???????,SOORANAD SOUTH
131,??????,Kollam,?????????????,KARUNAGAPPALLY,????????,THEVALAKKARA
132,??????,Kollam,?????????????,KARUNAGAPPALLY,???,CHAVARA
133,??????,Kollam,?????????????,KARUNAGAPPALLY,?????????????,KARUNAGAPPALLY
134,??????,Kollam,?????????????,KARUNAGAPPALLY,???????,NEENDAKARA
135,??????,Kollam,?????????????,KARUNAGAPPALLY,?????????,VADAKUMTHALA
136,??????,Kollam,?????????????,KARUNAGAPPALLY,???????????,THEKKUMBHAGOM KARUNAGAPALLY
137,??????,Kollam,?????????????,KARUNAGAPPALLY,?????????????????,AYANIVELIKULANGARA
138,??????,Kollam,?????????????,KARUNAGAPPALLY,?????????,THODIYOOR
139,??????,Kollam,?????????????,KARUNAGAPPALLY,???,THAZHAVA
140,??????,Kollam,?????????????,KARUNAGAPPALLY,???????????,KULASEKHARAPURAM
141,??????,Kollam,?????????????,KARUNAGAPPALLY,??????,OCHIRA
142,??????,Kollam,?????????????,KARUNAGAPPALLY,?????????,ALAPPAD KOLLAM
143,??????,Kollam,?????????????,KARUNAGAPPALLY,?????????,CLAPPANA
144,??????,Kollam,?????????????,KARUNAGAPPALLY,???????,PAVUMBA
145,??????,Kollam,?????????????,KARUNAGAPPALLY,???????????,KALLALIBHAGOM
146,??????,Kollam,?????????????,KARUNAGAPPALLY,????????,ADINAD
147,??????,Kollam,?????????????,KARUNAGAPPALLY,??????,PANMANA
148,??????,Kollam,??????,KOLLAM,????????,ERAVIPURAM
149,??????,Kollam,??????,KOLLAM,?????? ????????,KOLLAM EAST
150,??????,Kollam,??????,KOLLAM,?????? ?????????,KOLLAM WEST
151,??????,Kollam,??????,KOLLAM,?????????,VADAKKEVILA
152,??????,Kollam,??????,KOLLAM,?????????????,KILIKOLLUR
153,??????,Kollam,??????,KOLLAM,????????,THRIKKARUVA
154,??????,Kollam,??????,KOLLAM,????????????,SHAKTHIKULANGARA
155,??????,Kollam,??????,KOLLAM,???????????,MUNDAKKAL
156,??????,Kollam,??????,KOLLAM,????????,MANGADU KOLLAM
157,??????,Kollam,??????,KOLLAM,??????????? ?????,THRIKKOVILVATTOM
158,??????,Kollam,??????,KOLLAM,???????,THAZHUTHALA
159,??????,Kollam,??????,KOLLAM,????????,NEDUMPANA
160,??????,Kollam,??????,KOLLAM,?????????,PALLIMON
161,??????,Kollam,??????,KOLLAM,????????????,ELAMPALLUR
162,??????,Kollam,??????,KOLLAM,???????????????????,MANDROTHURUTH
163,??????,Kollam,??????,KOLLAM,???????? ?????,EAST KALLADA
164,??????,Kollam,??????,KOLLAM,?????,MULAVANA
165,??????,Kollam,??????,KOLLAM,?????????,PERINAD KOLLAM
166,??????,Kollam,??????,KOLLAM,????,PANAYAM
167,??????,Kollam,??????,KOLLAM,???????????,PARIPPALLY
168,??????,Kollam,??????,KOLLAM,???????????????,KALLUVATHUKKAL
169,??????,Kollam,??????,KOLLAM,???????,MEENAD
170,??????,Kollam,??????,KOLLAM,???????,CHIRAKKARA
171,??????,Kollam,??????,KOLLAM,??????????????,ADICHANALLUR
172,??????,Kollam,??????,KOLLAM,?????????,POOTHAKULAM
173,??????,Kollam,??????,KOLLAM,???????,PARAVOOR
174,??????,Kollam,??????,KOLLAM,???????????,KOTTAPPURAM
175,??????,Kollam,??????,KOLLAM,?????????,MAYYANAD
176,??????,Kollam,??????,KOLLAM,???????????,THRIKKADAVOOR
177,??????,Kollam,??????,KOLLAM,?????????,KOTTAMKARA
178,??????,Kollam,??????,KOLLAM,?????,PERAYAM
179,??????,Kollam,???????????,KOTTARAKKARA,????????,EZHUKONE
180,??????,Kollam,???????????,KOTTARAKKARA,???????????,KOTTARAKKARA
181,??????,Kollam,???????????,KOTTARAKKARA,????????????,PAVITHRESWARAM
182,??????,Kollam,???????????,KOTTARAKKARA,????????????,NEDUVATHUR
183,??????,Kollam,???????????,KOTTARAKKARA,???????,KULAKKADA
184,??????,Kollam,???????????,KOTTARAKKARA,???????,KALAYAPURAM
185,??????,Kollam,???????????,KOTTARAKKARA,?????????,PUTHUR KOLLAM
186,??????,Kollam,???????????,KOTTARAKKARA,????,MYLOM
187,??????,Kollam,???????????,KOTTARAKKARA,??????,KAREEPRA
188,??????,Kollam,???????????,KOTTARAKKARA,??????,VELIYAM
189,??????,Kollam,???????????,KOTTARAKKARA,?????????,ODANAVATTOM
190,??????,Kollam,???????????,KOTTARAKKARA,??????????,POOYAPPALLY
191,??????,Kollam,???????????,KOTTARAKKARA,???????????,UMMANNUR
192,??????,Kollam,???????????,KOTTARAKKARA,???????????,VETTIKKAVALA
193,??????,Kollam,???????????,KOTTARAKKARA,?????,MELILA
194,??????,Kollam,???????????,KOTTARAKKARA,????????????????,CHAKKUVARAKKAL
195,??????,Kollam,???????????,KOTTARAKKARA,?????,VALAKOM
196,??????,Kollam,???????????,KOTTARAKKARA,????,CHITHARA
197,??????,Kollam,???????????,KOTTARAKKARA,?????????,MANKODE
198,??????,Kollam,???????????,KOTTARAKKARA,??????,ITTIVA
199,??????,Kollam,???????????,KOTTARAKKARA,????????????,KOTTUKKAL
